original_title;genre;director;actors;description;combined_features
Abbott and Costello in the Foreign Legion;Adventure, Comedy;Charles Lamont;Bud Abbott, Lou Costello, Patricia Medina, Walter Slezak, Douglass Dumbrille, Leon Belasco, Marc Lawrence, William 'Wee Willie' Davis, Tor Johnson, Sammy Menacker, Jack Raymond, Fred Nurney, Paul Fierro, Henry Corden;Two Brooklyn wrestling promoters go to French Algeria in search of a famous Algerian wrestler but accidentally end-up in the French Foreign Legion.;Abbott and Costello in the Foreign Legion Adventure, Comedy Charles Lamont Bud Abbott, Lou Costello, Patricia Medina, Walter Slezak, Douglass Dumbrille, Leon Belasco, Marc Lawrence, William 'Wee Willie' Davis, Tor Johnson, Sammy Menacker, Jack Raymond, Fred Nurney, Paul Fierro, Henry Corden Two Brooklyn wrestling promoters go to French Algeria in search of a famous Algerian wrestler but accidentally end-up in the French Foreign Legion.
The Admiral Was a Lady;Comedy, Romance;Albert S. Rogell;Edmond O'Brien, Wanda Hendrix, Rudy Vallee, Johnny Sands, Steve Brodie, Richard Erdman, Hillary Brooke, Richard Lane, Garry Owen, Fred Essler;Ex-WAVE encounters four fun-loving, work-hating men, all of whom want to marry her.;The Admiral Was a Lady Comedy, Romance Albert S. Rogell Edmond O'Brien, Wanda Hendrix, Rudy Vallee, Johnny Sands, Steve Brodie, Richard Erdman, Hillary Brooke, Richard Lane, Garry Owen, Fred Essler Ex-WAVE encounters four fun-loving, work-hating men, all of whom want to marry her.
Alice in Wonderland;Animation, Action, Family;Dallas Bower;Stephen Murray, Ernest Milton, Pamela Brown, Felix Aylmer, David Reed, Joyce Grenfell, Carol Marsh, Jack Train, Peter Bull, Ivan Staff, Claude Hulbert, Raymond Bussières;This exceptional theatrical version of Lewis Carroll's 1865 classic features a combination of live characters and stop motion animation.;Alice in Wonderland Animation, Action, Family Dallas Bower Stephen Murray, Ernest Milton, Pamela Brown, Felix Aylmer, David Reed, Joyce Grenfell, Carol Marsh, Jack Train, Peter Bull, Ivan Staff, Claude Hulbert, Raymond Bussières This exceptional theatrical version of Lewis Carroll's 1865 classic features a combination of live characters and stop motion animation.
All About Eve;Drama;Joseph L. Mankiewicz;Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White;A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.;All About Eve Drama Joseph L. Mankiewicz Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Le château de verre;Drama, Romance;René Clément;Michèle Morgan, Jean Marais, Jean Servais, Fosco Giachetti, Elisa Cegani, Elina Labourdette, Giovanna Galletti, André Carnège, Roger Dalphin, Albert Michel, Colette Régis, Allain Dhurtal, Maurice Carnege, Anna-Marie Cazalis, Yvonne Claudie;Evlyne, a judge's young wife, falls in love with Remy, that lives in Paris, during Holidays. After following him in the lovers city, she decides to return home to inform her husband about ...;Le château de verre Drama, Romance René Clément Michèle Morgan, Jean Marais, Jean Servais, Fosco Giachetti, Elisa Cegani, Elina Labourdette, Giovanna Galletti, André Carnège, Roger Dalphin, Albert Michel, Colette Régis, Allain Dhurtal, Maurice Carnege, Anna-Marie Cazalis, Yvonne Claudie Evlyne, a judge's young wife, falls in love with Remy, that lives in Paris, during Holidays. After following him in the lovers city, she decides to return home to inform her husband about ...
American Guerrilla in the Philippines;Drama, War;Fritz Lang;Tyrone Power, Micheline Presle, Tom Ewell, Robert Patten, Tommy Cook, Juan Torena, Jack Elam, Robert Barrat;American soldiers stranded in the Philippines after the Japanese invasion form guerrilla bands to fight back.;American Guerrilla in the Philippines Drama, War Fritz Lang Tyrone Power, Micheline Presle, Tom Ewell, Robert Patten, Tommy Cook, Juan Torena, Jack Elam, Robert Barrat American soldiers stranded in the Philippines after the Japanese invasion form guerrilla bands to fight back.
Annie Get Your Gun;Biography, Comedy, Musical;George Sidney, Busby Berkeley;Betty Hutton, Howard Keel, Louis Calhern, J. Carrol Naish, Edward Arnold, Keenan Wynn, Benay Venuta, Clinton Sundberg;The story of the great sharpshooter;Annie Get Your Gun Biography, Comedy, Musical George Sidney, Busby Berkeley Betty Hutton, Howard Keel, Louis Calhern, J. Carrol Naish, Edward Arnold, Keenan Wynn, Benay Venuta, Clinton Sundberg The story of the great sharpshooter
Apartado de correos 1001;Crime;Julio Salvador;Conrado San Martín, Elena Espejo, Tomás Blanco, Manuel de Juan, Luis Pérez de León, Carlos Muñoz, Guillermo Marín, Casimiro Hurtado, Emilio Fábregas, Eugenio Testa, Marta Grau, José Goula, Ricardo Fuentes, Modesto Cid;Barcelona, 1950. A man is killed in front of a Police station. The case is given to two agents, a skilled veteran and an eager young one, who team to solve it while bit by bit their efforts...;Apartado de correos 1001 Crime Julio Salvador Conrado San Martín, Elena Espejo, Tomás Blanco, Manuel de Juan, Luis Pérez de León, Carlos Muñoz, Guillermo Marín, Casimiro Hurtado, Emilio Fábregas, Eugenio Testa, Marta Grau, José Goula, Ricardo Fuentes, Modesto Cid Barcelona, 1950. A man is killed in front of a Police station. The case is given to two agents, a skilled veteran and an eager young one, who team to solve it while bit by bit their efforts...
Armored Car Robbery;Action, Adventure, Crime;Richard Fleischer;Charles McGraw, Adele Jergens, William Talman, Douglas Fowley, Steve Brodie, Don McGuire, Don Haggerty, James Flavin, Gene Evans;A well-planned robbery goes awry, with tough cop Cordell in pursuit.;Armored Car Robbery Action, Adventure, Crime Richard Fleischer Charles McGraw, Adele Jergens, William Talman, Douglas Fowley, Steve Brodie, Don McGuire, Don Haggerty, James Flavin, Gene Evans A well-planned robbery goes awry, with tough cop Cordell in pursuit.
The Asphalt Jungle;Crime, Drama, Film-Noir;John Huston;Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore, Sam Jaffe, John McIntire, Marc Lawrence, Barry Kelley, Anthony Caruso, Teresa Celli, Marilyn Monroe, William 'Wee Willie' Davis, Dorothy Tree, Brad Dexter, John Maxwell;A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.;The Asphalt Jungle Crime, Drama, Film-Noir John Huston Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore, Sam Jaffe, John McIntire, Marc Lawrence, Barry Kelley, Anthony Caruso, Teresa Celli, Marilyn Monroe, William 'Wee Willie' Davis, Dorothy Tree, Brad Dexter, John Maxwell A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.
At War with the Army;Comedy, Musical, War;Hal Walker;Dean Martin, Jerry Lewis, Mike Kellin, Jimmie Dundee, Dick Stabile, Tommy Farrell, Frank Hyers, Danny Dayton, William Mendrek, Kenneth Forbes, Paul Livermore, Ty Perry, Jean Ruth, Angela Greene, Polly Bergen;Alvin Corwin is low man on the totem pole, and goes from one mishap to another at an army training camp in World War II.;At War with the Army Comedy, Musical, War Hal Walker Dean Martin, Jerry Lewis, Mike Kellin, Jimmie Dundee, Dick Stabile, Tommy Farrell, Frank Hyers, Danny Dayton, William Mendrek, Kenneth Forbes, Paul Livermore, Ty Perry, Jean Ruth, Angela Greene, Polly Bergen Alvin Corwin is low man on the totem pole, and goes from one mishap to another at an army training camp in World War II.
Atoll K;Comedy;Léo Joannon, John Berry;Stan Laurel, Oliver Hardy, Suzy Delair, Max Elloy, Suzet Maïs, Félix Oudart, Adriano Rimoldi, Robert Murzeau, Luigi Tosi, Michael Dalmatoff, André Randall, Robert Vattier, Claude May, Roger Legris, Olivier Hussenot;Stan inherits a yacht and a South Pacific island. Ollie and Stan sail there with 2 other men. They shipwreck on a new atoll and settle there. An ex-fiancee joins them. They declare an independent nation and problems arise.;Atoll K Comedy Léo Joannon, John Berry Stan Laurel, Oliver Hardy, Suzy Delair, Max Elloy, Suzet Maïs, Félix Oudart, Adriano Rimoldi, Robert Murzeau, Luigi Tosi, Michael Dalmatoff, André Randall, Robert Vattier, Claude May, Roger Legris, Olivier Hussenot Stan inherits a yacht and a South Pacific island. Ollie and Stan sail there with 2 other men. They shipwreck on a new atoll and settle there. An ex-fiancee joins them. They declare an independent nation and problems arise.
Atom Man vs. Superman;Sci-Fi;Spencer Gordon Bennet;Kirk Alyn, Noel Neill, Lyle Talbot, Tommy Bond, Pierre Watkin, Jack Ingram, Don C. Harvey, Rusty Wescoatt, Terry Frost, Wally West, Paul Stader, George Robotham;Superman battles Lex Luthor who is using a teleportation device and a new identity as Atom Man in his criminal plans.;Atom Man vs. Superman Sci-Fi Spencer Gordon Bennet Kirk Alyn, Noel Neill, Lyle Talbot, Tommy Bond, Pierre Watkin, Jack Ingram, Don C. Harvey, Rusty Wescoatt, Terry Frost, Wally West, Paul Stader, George Robotham Superman battles Lex Luthor who is using a teleportation device and a new identity as Atom Man in his criminal plans.
Baba Amin;Comedy, Drama, Fantasy;Youssef Chahine;Husain Reyadh, Faten Hamamah, Kamal El-Shinnawi, Mari Munib, Farid Shawqi, Hind Rustum, Mohammed Tawfik, Mohsen Hassanain, Abdulmunem Ismail, Hassan Kamel, Gamalat Zayed, Umran Bahar, Mahmoud Lotfi, Esam Abduh, Nabawiyya Mostafa;The soul of the father, Amine, comes back after death to see how his family is doing.;Baba Amin Comedy, Drama, Fantasy Youssef Chahine Husain Reyadh, Faten Hamamah, Kamal El-Shinnawi, Mari Munib, Farid Shawqi, Hind Rustum, Mohammed Tawfik, Mohsen Hassanain, Abdulmunem Ismail, Hassan Kamel, Gamalat Zayed, Umran Bahar, Mahmoud Lotfi, Esam Abduh, Nabawiyya Mostafa The soul of the father, Amine, comes back after death to see how his family is doing.
Backfire;Crime, Film-Noir, Mystery;Vincent Sherman;Viveca Lindfors, Dane Clark, Virginia Mayo, Edmond O'Brien, Gordon MacRae, Ed Begley, Frances Robinson, Richard Rober, Sheila MacRae, David Hoffman;While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.;Backfire Crime, Film-Noir, Mystery Vincent Sherman Viveca Lindfors, Dane Clark, Virginia Mayo, Edmond O'Brien, Gordon MacRae, Ed Begley, Frances Robinson, Richard Rober, Sheila MacRae, David Hoffman While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.
Balarrasa;Drama;José Antonio Nieves Conde;Fernando Fernán Gómez, María Rosa Salgado, Dina Sten, Luis Prendes, Eduardo Fajardo, Jesús Tordesillas, Maruchi Fresno, Mario Berriatúa, José María Rodero, Julia Caba Alba, Gérard Tichy, Virginia de Matos, Gary Land, Félix Dafauce, Eloísa Muro;Javier is used to make the best of his military life. When a companion is killed in his place, he makes up his mind and enters religious life. Reencountering his rich and spoiled family ...;Balarrasa Drama José Antonio Nieves Conde Fernando Fernán Gómez, María Rosa Salgado, Dina Sten, Luis Prendes, Eduardo Fajardo, Jesús Tordesillas, Maruchi Fresno, Mario Berriatúa, José María Rodero, Julia Caba Alba, Gérard Tichy, Virginia de Matos, Gary Land, Félix Dafauce, Eloísa Muro Javier is used to make the best of his military life. When a companion is killed in his place, he makes up his mind and enters religious life. Reencountering his rich and spoiled family ...
The Baron of Arizona;Biography, Crime, Drama;Samuel Fuller;Vincent Price, Ellen Drew, Vladimir Sokoloff, Beulah Bondi, Reed Hadley, Robert Barrat, Robin Short, Tina Pine, Karen Kester, Margia Dean, Jonathan Hale, Edward Keane, Barbara Wooddell, I. Stanford Jolley, Fred Kohler Jr.;Master swindler James Reavis painstakingly spends years forging documents and land grants that will make his wife and him undisputed owners of the entire state of Arizona.;The Baron of Arizona Biography, Crime, Drama Samuel Fuller Vincent Price, Ellen Drew, Vladimir Sokoloff, Beulah Bondi, Reed Hadley, Robert Barrat, Robin Short, Tina Pine, Karen Kester, Margia Dean, Jonathan Hale, Edward Keane, Barbara Wooddell, I. Stanford Jolley, Fred Kohler Jr. Master swindler James Reavis painstakingly spends years forging documents and land grants that will make his wife and him undisputed owners of the entire state of Arizona.
Barricade;Romance, Western;Peter Godfrey;Dane Clark, Raymond Massey, Ruth Roman, Robert Douglas, Morgan Farley, Walter Coy, George Stern, Robert Griffin, Frank Marlowe, Tony Martinez;"Jack London's ""The Sea Wolf"" is transported from sea to land in this intriguing western. The ruthless boss of a mining camp meets his match when fugitives from justice cross his path.";"Barricade Romance, Western Peter Godfrey Dane Clark, Raymond Massey, Ruth Roman, Robert Douglas, Morgan Farley, Walter Coy, George Stern, Robert Griffin, Frank Marlowe, Tony Martinez Jack London's ""The Sea Wolf"" is transported from sea to land in this intriguing western. The ruthless boss of a mining camp meets his match when fugitives from justice cross his path."
La beauté du diable;Comedy, Drama, Fantasy;René Clair;Michel Simon, Gérard Philipe, Nicole Besnard, Simone Valère, Carlo Ninchi, Raymond Cordy, Tullio Carminati, Paolo Stoppa, Gaston Modot;The Faust story retold, with an aged alchemist accepting the gift of renewed youth from the devilish Mephistopheles.;La beauté du diable Comedy, Drama, Fantasy René Clair Michel Simon, Gérard Philipe, Nicole Besnard, Simone Valère, Carlo Ninchi, Raymond Cordy, Tullio Carminati, Paolo Stoppa, Gaston Modot The Faust story retold, with an aged alchemist accepting the gift of renewed youth from the devilish Mephistopheles.
Bells of Coronado;Thriller, Western;William Witney;Roy Rogers, Trigger, Dale Evans, Pat Brady, Grant Withers, Leo Cleary, Clifton Young, Robert Bice, Stuart Randall, John Hamilton, Edmund Cobb, Eddie Lee, Rex Lease, Lane Bradford, Foy Willing;Roy is an insurance investigator looking into the theft of uranium ore. He must prevent the thieves from taking off in a plane with the stolen ore.;Bells of Coronado Thriller, Western William Witney Roy Rogers, Trigger, Dale Evans, Pat Brady, Grant Withers, Leo Cleary, Clifton Young, Robert Bice, Stuart Randall, John Hamilton, Edmund Cobb, Eddie Lee, Rex Lease, Lane Bradford, Foy Willing Roy is an insurance investigator looking into the theft of uranium ore. He must prevent the thieves from taking off in a plane with the stolen ore.
Between Midnight and Dawn;Crime, Drama, Film-Noir;Gordon Douglas;Mark Stevens, Edmond O'Brien, Gale Storm, Donald Buka, Gale Robbins, Anthony Ross, Roland Winters, Tito Vuolo, Grazia Narciso, Madge Blake, Lora Lee Michel, Jack Del Rio, Philip Van Zandt, Cliff Bailey, Tony Barr;Prowl car cops on night duty romance a reluctant young lady while in danger from a vengeful racketeer.;Between Midnight and Dawn Crime, Drama, Film-Noir Gordon Douglas Mark Stevens, Edmond O'Brien, Gale Storm, Donald Buka, Gale Robbins, Anthony Ross, Roland Winters, Tito Vuolo, Grazia Narciso, Madge Blake, Lora Lee Michel, Jack Del Rio, Philip Van Zandt, Cliff Bailey, Tony Barr Prowl car cops on night duty romance a reluctant young lady while in danger from a vengeful racketeer.
